Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
15000016,CEIP Plurilingüe San Marcos,Campo da Feira s/n,Abegondo,A Coruña,15318,881880201,CEIP,43.229183197021484,-8.286580085754395,Pública,Non,Si
15000107,CEIP A Maía,"Rúa Peregrina, s/n (Bertamiráns)",Ames,A Coruña,15220,881866002,CEIP,42.86748504638672,-8.657341957092285,Pública,Non,Si
15000132,CPR Plurilingüe Alca,Lugar Biduído de Arriba 36,Ames,A Coruña,15895,981531103,CPR,42.8463249206543,-8.600728988647461,Privada,Si,Non
15000338,CPI As Mirandas,Avenida Celso Emilio Ferreiro 4,Ares,A Coruña,15624,881930020,CPI,43.42936325073242,-8.246172904968262,Pública,Non,Si
15000363,CEIP Ponte dos Brozos,"Avenida Arsenio Iglesias, 34 (Sabon)",Arteixo,A Coruña,15142,881960506,CEIP,43.30693817138672,-8.510333061218262,Pública,Non,Si
15000545,EMUSPR Presto Vivace,"Rúa Posse, 37, 1º",A Coruña,A Coruña,15009,981131545,EMUSPR,43.35441970825195,-8.400639533996582,Privada,Non,Non
15000569,CEIP San Xosé Obreiro,"Travesa de Meiras, s/n (Meicende)",Arteixo,A Coruña,15140,881880214,CEIP,43.34535598754883,-8.447118759155273,Pública,Non,Si
15000600,CPR Plurilingüe Ntra. Sra. del Rosario,Rúa Carmen 22,Arzúa,A Coruña,15810,981501393,CPR,42.92634201049805,-8.164633750915527,Privada,Si,Non
15000612,CEIP de Arzúa,Rúa Baltasar Pardal s/n,Arzúa,A Coruña,15810,981500291,CEIP,42.92971420288086,-8.157230377197266,Pública,Non,Si
15001033,CFEA de Guísamo,Lugar de Bos 14,Bergondo,A Coruña,15640,881881055,CFEA,43.30937957763672,-8.278412818908691,Pública,Non,Non
15001070,CPI de Cruz do Sar,Rúa A Senra 33,Bergondo,A Coruña,15165,881960215,CPI,43.31973648071289,-8.226619720458984,Pública,Non,Si
15001112,CPR Plurilingüe Nuestra Señora del Carmen,Avenida de Castela 146,Betanzos,A Coruña,15300,981770452,CPR,43.2708854675293,-8.204855918884277,Privada,Si,Non
15001124,CEIP Francisco Vales Villamarín,Rúa Carregal 4,Betanzos,A Coruña,15300,881880237,CEIP,43.281532287597656,-8.218994140625,Pública,Non,Si
15001136,IES Francisco Aguiar,Avenida Da Coruña 15,Betanzos,A Coruña,15300,881960165,IES,43.28248977661133,-8.217094421386719,Pública,Non,Si
15001148,IES As Mariñas,Avenida da Coruña s/n,Betanzos,A Coruña,15300,881880254,IES,43.283477783203125,-8.215624809265137,Pública,Non,Si
15001151,EMUSPR de Vedra,Santa Cruz de Ribadulla,Vedra,A Coruña,15880,981512291,EMUSPR,42.7795524597168,-8.426631927490234,Privada,Non,Non
