Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
32000058,CEIP Padre Feijoo,Estrada de Xunqueira s/n,Allariz,Ourense,32660,988440825,CEIP,42.19032287597656,-7.794390678405762,Pública,Non,Si
32000101,ESMU Municipal de Allariz,Praza Maior 1,Allariz,Ourense,32660,988440859,ESMU,42.189971923828125,-7.801990985870361,Pública,Non,Non
32000113,ESMU Municipal de Ribadavia,Rúa Redondela s/n,Ribadavia,Ourense,32400,988471900,ESMU,42.28554916381836,-8.145397186279297,Pública,Non,Non
32000356,CEIP Plurilingüe Ramón Otero Pedrayo,Rúa Souto S/N,Amoeiro,Ourense,32170,988788990,CEIP,42.41521072387695,-7.946763038635254,Pública,Non,Si
32000708,CEIP Virxe de Guadalupe,"Rúa Cendones, 15 (San Xusto)",Avión,Ourense,32520,988486178,CEIP,42.37489700317383,-8.246699333190918,Pública,Non,Si
32001002,CEIP Xoaquín Lourenzo Xocas,Rúa Outeiro s/n,Bande,Ourense,32840,988788025,CEIP,42.03322219848633,-7.971873760223389,Pública,Non,Si
32001312,CEIP de Baños de Molgas,Estrada de Salgueiros s/n,Baños de Molgas,Ourense,32701,988430268,CEIP,42.24591827392578,-7.672107696533203,Pública,Non,Si
32001658,CEIP Plurilingüe Julio Gurriarán Canalejas,Rúa Lugo 2,O Barco de Valdeorras,Ourense,32300,988320880,CEIP,42.41657257080078,-6.992948055267334,Pública,Non,Si
32001661,CPR Plurilingüe Divina Pastora,Rúa Ramon del Valle Inclan 2,O Barco de Valdeorras,Ourense,32300,988347058,CPR,42.41941833496094,-6.981210708618164,Privada,Si,Non
32001671,CEIP Ramón Otero Pedrayo,Rúa Elena Quiroga 7,O Barco de Valdeorras,Ourense,32300,988320163,CEIP,42.41165542602539,-6.978217601776123,Pública,Non,Si
32001683,IES Martaguisela,Rúa A Coruña 22,O Barco de Valdeorras,Ourense,32300,988320931,IES,42.41561508178711,-6.993387699127197,Pública,Non,Si
32001725,IES Lauro Olmo,Rúa Calabagueiros s/n,O Barco de Valdeorras,Ourense,32300,988320175,IES,42.41618728637695,-6.995115280151367,Pública,Non,Si
32001920,CEIP de Beariz,Avenida Daniel Vázquez Gulías s/n,Beariz,Ourense,32520,988284223,CEIP,42.47160339355469,-8.278213500976562,Pública,Non,Si
32002043,CEIP Plurilingüe dos Blancos,Os Blancos,Os Blancos,Ourense,32634,988467523,CEIP,41.996124267578125,-7.753835201263428,Pública,Non,Si
32002122,CEIP Nosa Señora de Xuvencos,Rúa Evaristo Riande s/n,Boborás,Ourense,32514,988402022,CEIP,42.43457794189453,-8.14213752746582,Pública,Non,Si
32002781,CPI Tomás Terrón Mendaña,Sobradelo,Carballeda de Valdeorras,Ourense,32330,988335065,CPI,42.416778564453125,-6.924862861633301,Pública,Non,Si
32002951,CEIP Plurilingüe Calvo Sotelo,"Avenida de Compostela, s/n (Uceira)",O Carballiño,Ourense,32500,988271419,CEIP,42.438987731933594,-8.061089515686035,Pública,Non,Si
32002973,CPR Plurilingüe Sagrado Corazón,Praza Irmans Prieto 7,O Carballiño,Ourense,32500,988270194,CPR,42.4302978515625,-8.078636169433594,Privada,Si,Non
32003001,IES Nº 1,Rúa Alberto Vilanova s/n,O Carballiño,Ourense,32500,988788985,IES,42.42523193359375,-8.06990909576416,Pública,Non,Si
32003059,CEIP San Marcos,Rúa Bandeira 1,Cartelle,Ourense,32820,988783640,CEIP,42.25150680541992,-8.066888809204102,Pública,Non,Si
32003503,CEIP de Castrelo de Miño,Astariz (Santa María),Castrelo de Miño,Ourense,32230,988489090,CEIP,42.32216262817383,-8.043671607971191,Pública,Non,Si
32003643,CPI Virxe dos Remedios,O Toural,Castro Caldelas,Ourense,32760,988203089,CPI,42.37123489379883,-7.414660930633545,Pública,Non,Si
32003771,CEIP Plurilingüe Curros Enríquez,Avenida Miguel Ángel Blanco s/n,Celanova,Ourense,32800,988788068,CEIP,42.15968704223633,-7.957572460174561,Pública,Non,Si
32003783,CPR Plurilingüe Sagrado Corazón,Rúa Areal 13,Celanova,Ourense,32800,988431516,CPR,42.15004348754883,-7.959670066833496,Privada,Si,Non
32004118,CPI Antonio Faílde,Entrada Nacional 525,Coles,Ourense,32100,988202017,CPI,42.410369873046875,-7.865556240081787,Pública,Non,Si
32004398,CEIP Vicente Risco,Estrada de Xinzo,Cualedro,Ourense,32689,988424005,CEIP,41.98837661743164,-7.595093250274658,Pública,Non,Si
32004829,CEIP Rosalía de Castro,Rúa Rosalia de Castro,Xinzo de Limia,Ourense,32630,988460480,CEIP,42.05971145629883,-7.721028327941895,Pública,Non,Si
32004830,CEIP Carlos Casares,Rúa Marcelo Macias 59,Xinzo de Limia,Ourense,32630,988788456,CEIP,42.066200256347656,-7.720926284790039,Pública,Non,Si
32005305,CPI Plurilingüe Laureano Prieto,Rúa Toural,A Gudiña,Ourense,32540,988421140,CPI,42.062076568603516,-7.136049270629883,Pública,Non,Si
32005408,CEIP Virxe da Pena da Sela,Campo (Santa María),O Irixo,Ourense,32530,988287411,CEIP,42.51560592651367,-8.121452331542969,Pública,Non,Si
32005691,CEIP Padre Crespo,Xunqueira De Ambía (Santa María A Real),Xunqueira de Ambía,Ourense,32670,988436063,CEIP,42.2028923034668,-7.731553077697754,Pública,Non,Si
32006000,CEIP Emilia Pardo Bazán,Leiro (San Pedro),Leiro,Ourense,32420,988488178,CEIP,42.3685302734375,-8.128089904785156,Pública,Non,Si
32006358,CEIP Plurilingüe do Xurés,Rúa Paraño 31,Lobios,Ourense,32870,988448007,CEIP,41.901493072509766,-8.080760955810547,Pública,Non,Si
32006553,CEIP Plurilingüe de Maceda,Rúa  do Castelo 2,Maceda,Ourense,32700,988788890,CEIP,42.27049255371094,-7.654547214508057,Pública,Non,Si
32006747,CEIP de Manzaneda,Rúa Do Pendon s/n,Manzaneda,Ourense,32781,988333050,CEIP,42.308815002441406,-7.232286930084229,Pública,Non,Si
32006929,CPI Terras de Maside,Rúa OUTEIRO GRANDE,Maside,Ourense,32570,988685001,CPI,42.41701126098633,-8.034585952758789,Pública,Non,Si
32007272,CEIP Augusto Assía,A Mezquita,A Mezquita,Ourense,32549,988425526,CEIP,42.0152587890625,-7.048909664154053,Pública,Non,Si
32007739,CEIP Valle-Inclán,"Rúa Otero Pedrayo, s/n (Mugueimes)",Muíños,Ourense,32880,988456423,CEIP,41.95719909667969,-7.977147102355957,Pública,Non,Si
32008033,CEIP Plurilingüe de Luíntra,Carretera de San Estevo,Nogueira de Ramuín,Ourense,32160,988201047,CEIP,42.41025924682617,-7.723517417907715,Pública,Non,Si
32008173,CEIP de Oímbra,Rúa GRUPO ESCOLAR 16,Oímbra,Ourense,32613,988426201,CEIP,41.8868522644043,-7.464270114898682,Pública,Non,Si
32008392,CEIP Plurilingüe Inmaculada,Rúa Inmaculada 22,Ourense,Ourense,32005,988224586,CEIP,42.331546783447266,-7.85645055770874,Pública,Non,Si
32008410,CPR Plurilingüe Santo Ángel,Vila Real 6,Ourense,Ourense,32002,988220487,CPR,42.33932113647461,-7.87172269821167,Privada,Si,Non
32008446,CPR Plurilingüe Concepción Arenal,Rúa BEDOYA 22,Ourense,Ourense,32004,988220200,CPR,42.339141845703125,-7.86070728302002,Privada,Si,Non
32008458,CPR Plurilingüe María Auxiliadora,Praza DE DON BOSCO 1,Ourense,Ourense,32003,988370537,CPR,42.34407043457031,-7.867734432220459,Privada,Si,Non
32008513,CPR Plurilingüe Santa Teresa de Jesús,Peña Trevinca 2,Ourense,Ourense,32005,988221536,CPR,42.336204528808594,-7.861146926879883,Privada,Si,Non
32008525,CPR Plurilingüe Divina Pastora,Rúa CARDENAL QUEVEDO 27,Ourense,Ourense,32004,988232232,CPR,42.34282684326172,-7.861168384552002,Privada,Si,Non
32008550,CPR Plurilingüe San José,Rúa do Progreso 24,Ourense,Ourense,32005,988220990,CPR,42.33391571044922,-7.865626335144043,Privada,Si,Non
32008604,CPR Plurilingüe Santa María,Rúa BEDOYA 9,Ourense,Ourense,32004,988228152,CPR,42.340457916259766,-7.862150192260742,Privada,Si,Non
32008616,CPR Plurilingüe Padre Feijoo Zorelle,Doutor Fleming 21,Ourense,Ourense,32003,988230401,CPR,42.33757400512695,-7.86744499206543,Privada,Si,Non
32008665,CPR Plurilingüe Divino Maestro,Rúa Madre Soledad 1,Ourense,Ourense,32001,988217800,CPR,42.35537338256836,-7.864591121673584,Privada,Si,Non
32008707,CPR Plurilingüe La Purísima,Rúa Santo Domingo 32,Ourense,Ourense,32003,988221541,CPR,42.3386116027832,-7.863155841827393,Privada,Si,Non
32008768,CEIP O Couto,Rampa de Sas,Ourense,Ourense,32002,988783060,CEIP,42.33668518066406,-7.874351501464844,Pública,Non,Si
32008771,CEIP de Práct. da E.U. Form. Profes. EXB,Rúa VICENTE RISCO 9,Ourense,Ourense,32001,988218441,CEIP,42.34830093383789,-7.867358684539795,Pública,Non,Si
32008793,CEIP Manuel Luís Acuña,Rúa do Hórreo 11,Ourense,Ourense,32002,988243751,CEIP,42.3330192565918,-7.875177383422852,Pública,Non,Si
32008801,CEIP Plurilingüe Irmáns Villar,Rúa R/ PEÑA TREVINCA 41,Ourense,Ourense,32005,988788585,CEIP,42.331199645996094,-7.861618995666504,Pública,Non,Si
32008811,CEIP Virxe de Covadonga,Rúa Cibeles 1,Ourense,Ourense,32001,988783080,CEIP,42.35741424560547,-7.872387886047363,Pública,Non,Si
32008835,CEIP Curros Enríquez,Avenida SAENZ DIEZ 52,Ourense,Ourense,32003,988783610,CEIP,42.344390869140625,-7.863083362579346,Pública,Non,Si
32008847,CEIP Plurilingüe Amadeo Rodríguez Barroso,Rúa Serra de San Mamede 8,Ourense,Ourense,32005,988783044,CEIP,42.327659606933594,-7.856769561767578,Pública,Non,Si
32008902,CIFP A Carballeira-Marcos Valcárcel,Praza da Lexión s/n,Ourense,Ourense,32002,988788470,CIFP,42.33140182495117,-7.874649047851563,Pública,Non,Si
32008914,CPR Santo Cristo,Rúa San Pedro 2,Ourense,Ourense,32005,988220588,CPR,42.33639144897461,-7.861965179443359,Privada,Si,Non
32008941,IES Eduardo Blanco Amor,Rúa Vicente Risco 13,Ourense,Ourense,32001,988219843,IES,42.348880767822266,-7.865384578704834,Pública,Non,Si
32008951,IES Ramón Otero Pedrayo,Rúa Padre Feixoo 19,Ourense,Ourense,32005,988220247,IES,42.332176208496094,-7.864011287689209,Pública,Non,Si
32009050,CPR Plurilingüe San Pío X,Avenida de Zamora 98,Ourense,Ourense,32005,988221127,CPR,42.32390594482422,-7.863421440124512,Privada,Si,Non
32009062,CPR Cardenal Cisneros,Emilia Pardo Bazan 21,Ourense,Ourense,32004,988225495,CPR,42.339141845703125,-7.859226226806641,Privada,Si,Non
32009074,CPR Seminario Menor Diocesano A Inmaculada,Estrada do Seminario 18,Ourense,Ourense,32002,988391104,CPR,42.342369079589844,-7.881746292114258,Privada,Non,Non
32009116,IES 12 de Outubro,Avenida Santiago 2,Ourense,Ourense,32001,988788211,IES,42.34873580932617,-7.868150234222412,Pública,Non,Si
32009131,IES Universidade Laboral,Rúa Universidade 18,Ourense,Ourense,32005,988788486,IES,42.31999588012695,-7.857633113861084,Pública,Non,Si
32009153,CEIP Mariñamansa,Rúa Leiras Pulpeiro s/n,Ourense,Ourense,32005,988254203,CEIP,42.32271194458008,-7.86768388748169,Pública,Non,Si
32009165,CEIP Plurilingüe As Mercedes,Praza das Mercedes,Ourense,Ourense,32005,988685030,CEIP,42.33785629272461,-7.862391471862793,Pública,Non,Si
32009189,CPR Ramón María del Valle- Inclán,Enseñanza 20,Ourense,Ourense,32002,988366214,CPR,42.34074401855469,-7.869979381561279,Privada,Si,Non
32009190,IES As Lagoas,Rúa Eduardo Blanco Amor 2,Ourense,Ourense,32004,988685020,IES,42.344757080078125,-7.858150959014893,Pública,Non,Si
32009301,CEIP Plurilingüe de Seixalbo,Rúa Seixalbo,Ourense,Ourense,32970,988237000,CEIP,42.299049377441406,-7.863512516021729,Pública,Non,Si
32009360,CPI Plurilingüe José García García,Mende 1,Ourense,Ourense,32004,988232529,CPI,42.347206115722656,-7.839303016662598,Pública,Non,Si
32010121,CEIP Roberto Blanco Torres,Graíces (San Vicente),A Peroxa,Ourense,32150,988206600,CEIP,42.444488525390625,-7.793552398681641,Pública,Non,Si
32010601,CEIP Plurilingüe Manuel Bermúdez Couso,Avenida do Castelo s/n,A Pobra de Trives,Ourense,32780,988330029,CEIP,42.33799743652344,-7.254356384277344,Pública,Non,Si
32010775,CEIP de Punxín,Rúa Condes de Arriba 9,Punxín,Ourense,32456,600005017,CEIP,42.3729133605957,-7.999399662017822,Pública,Non,Si
32011032,CEIP Plurilingüe Carlos Cid Arregui,Rairiz De Veiga (San Xoán),Rairiz de Veiga,Ourense,32652,988465553,CEIP,42.08122253417969,-7.830467700958252,Pública,Non,Si
